timestamp,zone_id,zone,energy_kwh,temperature_c,efficiency_pct,co2_kg,cost_usd,production_units,status
2025-11-21 13:05:22,stamping,Stamping Shop,272.89,64.84,87.67,63.58,32.75,503,green
2025-11-21 13:05:22,body_shop,Body Shop (BIW),426.02,53.17,91.8,99.26,51.12,526,green
2025-11-21 13:05:22,paint,Paint Shop,739.48,191.53,85.45,172.3,88.74,490,green
2025-11-21 13:05:22,assembly,General Assembly,400.98,22.78,89.45,93.43,48.12,513,green
2025-11-21 13:05:22,powertrain,Powertrain Assembly,318.7,35.28,87.15,74.26,38.24,500,green
2025-11-21 13:05:22,quality,Quality Control,201.86,22.73,93.35,47.03,24.22,535,green
2025-11-21 13:05:22,logistics,Logistics,153.03,21.45,86.68,35.66,18.36,497,green
2025-11-21 14:05:22,stamping,Stamping Shop,309.64,66.54,89.22,72.15,37.16,623,green
2025-11-21 14:05:22,body_shop,Body Shop (BIW),608.06,54.58,88.79,141.68,72.97,620,green
2025-11-21 14:05:22,paint,Paint Shop,866.21,170.08,81.8,201.83,103.94,571,green
2025-11-21 14:05:22,assembly,General Assembly,497.37,26.98,82.08,115.89,59.68,573,green
2025-11-21 14:05:22,powertrain,Powertrain Assembly,376.67,35.61,83.27,87.76,45.2,581,green
2025-11-21 14:05:22,quality,Quality Control,224.47,21.78,91.86,52.3,26.94,641,green
2025-11-21 14:05:22,logistics,Logistics,191.04,19.98,90.84,44.51,22.92,634,green
2025-11-21 15:05:22,stamping,Stamping Shop,242.45,60.44,91.52,56.49,29.09,505,green
2025-11-21 15:05:22,body_shop,Body Shop (BIW),437.61,60.1,89.41,101.96,52.51,493,green
2025-11-21 15:05:22,paint,Paint Shop,687.72,175.92,81.22,160.24,82.53,448,green
2025-11-21 15:05:22,assembly,General Assembly,383.14,24.55,87.33,89.27,45.98,482,green
2025-11-21 15:05:22,powertrain,Powertrain Assembly,302.41,35.87,88.34,70.46,36.29,487,green
2025-11-21 15:05:22,quality,Quality Control,185.71,21.67,91.19,43.27,22.29,503,green
2025-11-21 15:05:22,logistics,Logistics,157.63,19.8,92.33,36.73,18.92,509,green
2025-11-21 16:05:22,stamping,Stamping Shop,246.18,62.77,90.21,57.36,29.54,522,green
2025-11-21 16:05:22,body_shop,Body Shop (BIW),463.95,55.33,84.58,108.1,55.67,490,green
2025-11-21 16:05:22,paint,Paint Shop,665.15,181.05,83.44,154.98,79.82,483,green
2025-11-21 16:05:22,assembly,General Assembly,400.12,26.63,89.72,93.23,48.01,519,green
2025-11-21 16:05:22,powertrain,Powertrain Assembly,310.71,35.76,88.38,72.39,37.28,512,green
2025-11-21 16:05:22,quality,Quality Control,180.16,21.47,93.58,41.98,21.62,542,green
2025-11-21 16:05:22,logistics,Logistics,155.6,18.8,90.57,36.26,18.67,524,green
2025-11-21 17:05:22,stamping,Stamping Shop,212.76,62.32,84.21,49.57,25.53,434,green
2025-11-21 17:05:22,body_shop,Body Shop (BIW),390.2,54.96,86.85,90.92,46.82,448,green
2025-11-21 17:05:22,paint,Paint Shop,631.26,193.6,82.98,147.08,75.75,428,green
2025-11-21 17:05:22,assembly,General Assembly,383.14,26.22,83.89,89.27,45.98,433,green
2025-11-21 17:05:22,powertrain,Powertrain Assembly,299.0,35.7,84.35,69.67,35.88,435,green
2025-11-21 17:05:22,quality,Quality Control,165.62,21.41,94.01,38.59,19.87,485,green
2025-11-21 17:05:22,logistics,Logistics,130.52,21.45,94.93,30.41,15.66,490,green
2025-11-21 18:05:22,stamping,Stamping Shop,269.57,63.68,92.36,62.81,32.35,544,green
2025-11-21 18:05:22,body_shop,Body Shop (BIW),526.65,53.03,90.98,122.71,63.2,536,green
2025-11-21 18:05:22,paint,Paint Shop,689.77,177.35,84.61,160.72,82.77,498,green
2025-11-21 18:05:22,assembly,General Assembly,402.82,25.45,85.05,93.86,48.34,501,green
2025-11-21 18:05:22,powertrain,Powertrain Assembly,356.51,32.39,85.8,83.07,42.78,505,green
2025-11-21 18:05:22,quality,Quality Control,190.92,21.91,95.2,44.48,22.91,560,green
2025-11-21 18:05:22,logistics,Logistics,175.21,20.58,89.7,40.82,21.03,528,green
2025-11-21 19:05:22,stamping,Stamping Shop,413.59,64.54,94.66,96.37,49.63,946,green
