timestamp,zone_id,zone,energy_kwh,temperature_c,efficiency_pct,co2_kg,cost_usd,production_units,status
2025-11-12 13:05:22,body_shop,Body Shop (BIW),460.35,51.35,86.88,107.26,55.24,489,green
2025-11-12 13:05:22,paint,Paint Shop,633.37,183.38,81.5,147.57,76.0,459,green
2025-11-12 13:05:22,stamping,Stamping Shop,276.0,71.06,87.74,64.31,33.12,494,green
2025-11-12 13:05:22,assembly,General Assembly,422.84,25.41,84.34,98.52,50.74,475,green
2025-11-12 13:05:22,logistics,Logistics,163.37,19.67,92.6,38.06,19.6,521,green
2025-11-12 14:05:22,powertrain,Powertrain Assembly,377.4,34.93,88.91,87.93,45.29,606,green
2025-11-12 14:05:22,paint,Paint Shop,817.84,191.34,83.43,190.56,98.14,568,green
2025-11-12 14:05:22,quality,Quality Control,199.8,21.6,91.07,46.55,23.98,620,green
2025-11-12 14:05:22,stamping,Stamping Shop,298.67,61.77,87.42,69.59,35.84,595,green
2025-11-12 14:05:22,logistics,Logistics,194.54,19.13,86.18,45.33,23.35,587,green
2025-11-12 14:05:22,body_shop,Body Shop (BIW),569.11,60.23,89.25,132.6,68.29,608,green
2025-11-12 14:05:22,assembly,General Assembly,445.06,25.5,87.69,103.7,53.41,597,green
2025-11-12 15:05:22,powertrain,Powertrain Assembly,361.96,32.05,89.16,84.34,43.44,593,green
2025-11-12 15:05:22,stamping,Stamping Shop,283.91,63.95,83.56,66.15,34.07,556,green
2025-11-12 15:05:22,logistics,Logistics,192.23,19.96,92.5,44.79,23.07,615,green
2025-11-12 15:05:22,quality,Quality Control,200.9,20.6,91.02,46.81,24.11,605,green
2025-11-12 15:05:22,assembly,General Assembly,477.78,26.58,86.16,111.32,57.33,573,green
2025-11-12 15:05:22,body_shop,Body Shop (BIW),551.11,57.6,85.14,128.41,66.13,566,green
2025-11-12 15:05:22,paint,Paint Shop,791.38,186.87,84.7,184.39,94.97,563,green
2025-11-12 16:05:22,logistics,Logistics,185.88,20.58,87.0,43.31,22.31,539,green
2025-11-12 16:05:22,stamping,Stamping Shop,270.99,69.18,90.98,63.14,32.52,564,green
2025-11-12 16:05:22,quality,Quality Control,199.74,23.13,93.72,46.54,23.97,581,green
2025-11-12 16:05:22,paint,Paint Shop,776.6,195.97,82.59,180.95,93.19,512,green
2025-11-12 16:05:22,assembly,General Assembly,419.47,24.85,85.51,97.74,50.34,530,green
2025-11-12 16:05:22,body_shop,Body Shop (BIW),481.91,53.84,85.88,112.29,57.83,532,green
2025-11-12 16:05:22,powertrain,Powertrain Assembly,332.15,34.39,85.22,77.39,39.86,528,green
2025-11-12 17:05:22,stamping,Stamping Shop,291.9,62.74,87.69,68.01,35.03,566,green
2025-11-12 17:05:22,assembly,General Assembly,416.28,24.55,85.97,96.99,49.95,555,green
2025-11-12 17:05:22,paint,Paint Shop,734.24,189.1,84.46,171.08,88.11,545,green
2025-11-12 17:05:22,quality,Quality Control,204.49,21.64,90.21,47.65,24.54,583,green
2025-11-12 17:05:22,body_shop,Body Shop (BIW),486.39,55.39,87.53,113.33,58.37,565,green
2025-11-12 17:05:22,logistics,Logistics,176.59,18.83,91.1,41.14,21.19,588,green
2025-11-12 17:05:22,powertrain,Powertrain Assembly,355.68,36.43,85.1,82.87,42.68,550,green
2025-11-12 18:05:22,body_shop,Body Shop (BIW),494.14,57.99,83.92,115.14,59.3,501,green
2025-11-12 18:05:22,assembly,General Assembly,416.74,23.66,89.24,97.1,50.01,533,green
2025-11-12 18:05:22,powertrain,Powertrain Assembly,341.19,37.5,87.58,79.5,40.94,523,green
2025-11-12 18:05:22,paint,Paint Shop,657.42,184.93,82.85,153.18,78.89,495,green
2025-11-12 18:05:22,stamping,Stamping Shop,281.64,69.11,85.72,65.62,33.8,512,green
2025-11-12 18:05:22,quality,Quality Control,183.93,23.42,92.57,42.86,22.07,553,green
2025-11-12 18:05:22,logistics,Logistics,155.64,20.41,90.5,36.26,18.68,540,green
2025-11-12 19:05:22,stamping,Stamping Shop,407.47,64.51,85.11,94.94,48.9,851,green
2025-11-12 19:05:22,logistics,Logistics,285.74,20.72,89.48,66.58,34.29,894,green
2025-11-12 19:05:22,assembly,General Assembly,662.77,25.56,85.6,154.43,79.53,855,green
2025-11-12 19:05:22,paint,Paint Shop,1123.31,183.22,82.93,261.73,134.8,829,green
2025-11-12 19:05:22,quality,Quality Control,320.61,23.02,94.01,74.7,38.47,940,green
2025-11-12 19:05:22,body_shop,Body Shop (BIW),787.86,54.97,85.59,183.57,94.54,855,green
2025-11-12 19:05:22,powertrain,Powertrain Assembly,512.15,35.23,85.52,119.33,61.46,855,green
2025-11-12 20:05:22,powertrain,Powertrain Assembly,794.9292439329731,34.22,85.18,197.2967674069596,64.58,901,red
2025-11-12 20:05:22,assembly,General Assembly,797.34,25.27,83.88,185.78,95.68,887,amber
2025-11-12 20:05:22,paint,Paint Shop,1381.18,185.09,83.23,321.82,165.74,881,amber
2025-11-12 20:05:22,body_shop,Body Shop (BIW),912.02,54.72,87.82,212.5,109.44,929,green
2025-11-12 20:05:22,quality,Quality Control,340.44,21.31,90.78,79.32,40.85,960,green
2025-11-12 20:05:22,stamping,Stamping Shop,484.23,63.08,89.02,112.83,58.11,942,green
2025-11-12 20:05:22,logistics,Logistics,312.69,20.59,90.68,72.86,37.52,959,green
2025-11-12 21:05:22,paint,Paint Shop,1414.37,178.93,83.16,329.55,169.72,927,amber
2025-11-12 21:05:22,quality,Quality Control,356.6,21.34,87.79,83.09,42.79,978,green
